ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
1952,F,Ship,5,1,165,3,low,F,27,1905
8675,C,Ship,4,5,148,3,medium,F,5,5216
1928,F,Flight,5,2,151,3,medium,M,20,1395
6991,D,Flight,4,1,256,2,medium,M,2,5630
10447,D,Ship,4,5,248,5,low,F,6,1754
4039,D,Ship,2,4,271,8,medium,F,10,4183
4501,D,Road,2,5,170,5,low,F,10,5621
5161,D,Ship,4,2,157,4,low,F,6,4964
3020,F,Flight,4,5,253,2,low,F,36,3389
6168,F,Flight,4,3,181,3,low,F,5,5398
8828,F,Ship,4,3,246,5,low,M,7,1134
3820,B,Road,5,5,184,3,low,F,2,5800
6240,F,Ship,3,4,175,3,medium,M,10,4771
7613,C,Ship,4,2,273,3,low,M,2,5712
6423,A,Road,3,5,258,4,low,F,3,4212
2764,B,Ship,3,2,191,4,medium,F,16,2277
2158,B,Ship,3,5,208,3,low,F,41,3977
2413,D,Ship,3,2,254,2,medium,F,2,3239
3367,D,Ship,5,4,273,3,medium,F,2,5672
9944,F,Ship,6,2,307,4,low,F,9,1674
1574,F,Ship,5,3,156,3,medium,M,58,1218
2395,D,Ship,4,5,227,3,low,M,65,3984
3159,A,Flight,4,2,159,5,low,F,4,5547
4612,B,Ship,3,4,219,2,medium,M,7,4883
6139,D,Road,3,1,267,4,medium,F,4,4914
9377,C,Ship,5,4,235,4,low,M,10,4880
9788,F,Ship,2,1,206,2,low,M,7,4721
5093,C,Ship,3,5,217,2,medium,F,6,5182
6568,B,Road,6,2,289,4,high,F,3,1116
6701,C,Road,3,3,136,3,low,M,10,5175
5222,F,Flight,6,5,256,5,low,M,10,1686
3730,B,Ship,4,3,146,3,low,F,8,5673
4832,F,Ship,3,1,228,2,low,F,5,4456
4578,F,Ship,4,4,157,4,low,M,6,4175
3318,F,Ship,5,3,141,3,low,M,9,4857
7860,F,Ship,5,2,189,2,medium,M,2,4636
7477,D,Ship,7,3,251,5,low,F,8,1616
8534,F,Ship,5,4,271,2,medium,F,6,4801
6347,C,Ship,4,3,223,3,medium,F,7,5935
918,F,Ship,5,3,188,7,medium,M,3,3637
2187,A,Road,3,4,202,3,medium,M,28,3707
1480,B,Ship,3,5,225,3,medium,M,8,3813
3603,A,Ship,3,2,149,3,medium,F,7,4049
9101,C,Ship,5,1,240,5,low,M,2,1400
2361,A,Ship,6,4,209,5,low,F,53,3169
7684,B,Flight,4,3,262,2,medium,F,3,4064
10507,D,Ship,4,5,200,4,low,F,1,4885
1565,C,Ship,4,1,238,2,low,F,3,2241
108,F,Ship,4,5,216,3,high,M,26,2053
4894,B,Ship,3,4,241,3,medium,M,3,4047
8606,F,Road,6,5,246,4,medium,M,2,1581
7732,B,Ship,5,4,217,5,high,F,3,1007
5431,D,Ship,5,3,195,4,low,F,9,5577
6454,B,Flight,3,2,227,3,low,F,4,4450
4339,D,Ship,4,4,233,4,low,M,3,5849
5550,F,Ship,3,4,168,2,medium,M,9,5235
9097,D,Ship,3,3,219,6,low,M,10,1116
4570,B,Ship,4,5,136,3,medium,M,7,4817
9683,C,Ship,6,5,254,4,medium,M,4,1887
2915,C,Ship,4,4,207,2,medium,F,14,2945
8250,F,Ship,5,1,103,5,low,F,10,5413
8494,B,Flight,3,1,267,2,low,M,7,4486
4812,F,Flight,6,5,245,4,low,F,8,1403
344,F,Ship,2,5,248,6,low,F,62,2750
1171,D,Ship,5,1,198,5,medium,F,49,3187
9287,C,Ship,3,4,180,3,low,M,2,5659
83,C,Ship,4,4,217,3,high,F,26,2875
6186,F,Ship,3,5,157,2,medium,F,4,5991
7500,F,Ship,5,5,262,6,low,F,5,1418
10694,F,Flight,4,3,261,10,low,F,6,4347
10126,B,Road,4,1,147,2,low,M,8,4600
2040,F,Road,5,2,202,3,medium,M,34,3885
1137,A,Ship,5,5,198,5,medium,M,36,2803
8518,B,Ship,4,4,183,4,low,F,6,4562
3268,B,Road,2,3,242,2,medium,F,1,5892
7170,F,Ship,6,3,290,4,low,M,5,1784
7618,B,Ship,5,1,256,4,medium,F,5,4970
8902,B,Flight,5,2,244,5,low,M,1,1875
1606,B,Ship,5,2,140,4,high,M,58,1175
1378,B,Flight,4,3,258,2,high,M,11,2252
2729,C,Road,4,4,179,3,low,M,48,1943
3665,C,Ship,3,3,250,5,medium,M,8,5762
3612,F,Ship,2,1,100,3,low,M,1,5776
6340,B,Ship,3,1,239,2,medium,F,2,5757
8723,C,Ship,3,4,177,3,medium,F,1,4965
6246,F,Ship,5,5,216,4,medium,F,1,4092
5069,C,Flight,5,2,233,3,high,F,4,4140
2675,C,Ship,4,3,183,2,low,F,32,3709
1976,F,Ship,3,1,187,2,high,M,56,3774
516,F,Ship,3,2,204,3,high,F,54,3608
922,B,Ship,4,4,209,8,medium,F,46,3345
5094,F,Ship,5,3,237,4,low,F,8,5432
8834,F,Ship,7,3,307,4,low,F,1,1589
6990,F,Flight,3,1,187,2,low,F,8,4292
2745,A,Flight,6,4,249,5,medium,M,43,3078
5043,A,Road,6,3,247,4,medium,F,9,1011
8407,D,Ship,3,1,238,2,medium,M,5,4355
9085,D,Ship,2,5,204,10,low,F,1,4709
991,D,Ship,3,2,234,3,medium,M,33,2789
1435,D,Ship,3,5,172,2,medium,M,60,1840
9024,F,Road,6,3,192,4,low,M,9,5239
9977,C,Road,4,2,142,3,low,M,2,4790
4983,A,Ship,3,3,262,7,high,F,9,5097
5133,A,Ship,4,4,208,5,medium,F,7,5401
3311,C,Ship,4,5,250,3,low,F,2,5206
1641,A,Flight,3,2,227,3,medium,M,21,2351
4440,F,Ship,4,4,133,2,low,F,10,4768
3917,C,Ship,4,4,272,2,low,M,10,4826
9396,F,Ship,6,3,255,4,low,M,6,1654
2385,A,Ship,4,5,260,3,medium,M,59,3951
10696,B,Flight,3,5,222,3,low,F,10,5185
3953,C,Road,3,1,254,4,medium,M,9,4571
789,A,Ship,5,4,134,2,low,F,20,1549
1053,A,Ship,5,5,264,3,medium,F,27,2019
9170,F,Road,6,1,277,5,low,F,2,1190
222,F,Ship,4,3,150,2,medium,M,31,1588
10736,F,Ship,4,4,229,6,medium,F,8,1175
5671,D,Ship,5,5,200,3,low,M,6,4401
4554,F,Ship,6,3,244,4,low,F,5,1668
8016,F,Ship,5,4,256,5,low,M,6,1551
6096,F,Ship,6,4,195,5,high,F,10,4225
9243,A,Ship,3,3,183,2,low,F,3,5189
925,D,Ship,4,1,161,2,high,F,41,1992
3514,B,Ship,3,2,262,4,low,M,1,4745
6282,F,Road,6,4,287,4,medium,F,9,1936
9946,B,Ship,6,5,157,5,low,F,10,1133
9961,D,Ship,6,5,254,4,high,F,10,1217
9271,D,Ship,3,1,151,4,medium,M,2,5016
7370,F,Ship,5,4,211,2,medium,F,7,4734
2833,D,Ship,2,2,168,5,medium,F,1,1885
8732,F,Ship,5,2,238,2,low,M,5,5703
819,A,Flight,3,4,262,2,low,M,15,3287
5508,F,Ship,7,1,296,4,low,M,4,1446
1282,B,Ship,3,3,110,3,low,M,7,1235
2484,F,Ship,6,3,167,6,low,F,15,1278
3932,F,Ship,2,4,187,6,medium,F,9,4388
7999,D,Ship,6,4,276,4,low,F,2,1120
8196,F,Road,3,5,147,3,medium,M,5,5357
4506,F,Road,4,4,142,10,high,F,7,5425
6172,B,Flight,5,5,189,3,low,M,7,5717
10358,F,Ship,2,4,226,3,low,M,9,4098
8071,D,Road,6,3,217,6,medium,M,3,4209
4019,C,Ship,3,5,160,3,medium,F,1,5062
152,F,Flight,5,3,98,5,medium,M,44,1269
4762,B,Ship,5,5,276,4,low,M,2,1411
770,F,Ship,4,1,114,3,medium,F,9,1240
5153,C,Ship,3,1,134,3,medium,M,10,4200
5240,F,Ship,3,1,243,3,medium,F,2,5827
8105,C,Ship,2,2,219,2,medium,M,8,4518
2174,F,Road,4,3,268,3,medium,F,23,2996
8738,F,Ship,3,4,264,3,low,M,8,4575
3044,F,Ship,3,2,274,3,medium,F,50,3958
5325,A,Road,4,3,175,3,medium,F,4,5784
8393,C,Ship,3,5,238,2,high,M,5,4052
10508,F,Ship,3,1,187,2,low,M,6,5448
9557,C,Ship,3,1,257,2,medium,F,2,5815
7145,C,Ship,6,5,278,4,high,F,6,1761
4425,A,Ship,3,3,251,2,low,M,3,5168
8983,D,Ship,5,5,182,3,medium,F,10,5060
1585,D,Ship,2,2,182,2,medium,F,14,3751
7798,B,Road,5,3,193,4,medium,F,3,5026
1664,F,Ship,5,5,224,8,low,F,48,2627
7615,D,Ship,5,3,178,4,medium,M,10,5382
2282,F,Ship,3,2,191,3,high,F,42,2374
4946,F,Flight,5,1,240,3,high,M,10,5277
4276,B,Ship,4,4,159,3,low,M,9,4265
9781,D,Ship,5,3,223,3,low,F,2,4671
4006,B,Ship,3,3,163,2,high,F,10,5364
5824,B,Ship,3,5,248,2,high,M,3,5287
585,A,Ship,3,3,163,2,medium,F,48,1369
5090,F,Ship,2,4,272,2,medium,M,4,4632
4297,D,Ship,3,4,268,2,medium,F,4,1442
3699,A,Flight,3,5,169,3,high,F,5,5750
6738,F,Ship,6,3,245,5,medium,F,8,5678
4219,D,Ship,3,5,243,3,medium,F,5,4383
983,C,Ship,3,2,175,4,medium,F,17,1276
10957,D,Flight,4,3,192,4,high,M,7,4949
674,F,Road,3,2,247,2,medium,M,39,3189
8276,F,Ship,5,4,262,3,medium,F,6,4428
5829,A,Ship,3,3,261,4,low,F,9,4529
10325,C,Ship,4,1,269,3,low,F,7,5211
5394,F,Ship,5,1,186,4,medium,M,5,5239
3258,F,Ship,4,2,222,3,high,F,9,5337
2860,B,Road,4,3,137,3,medium,M,46,1299
570,F,Ship,4,5,265,2,medium,F,18,2969
1025,C,Ship,3,2,221,3,low,F,21,3686
6524,F,Ship,3,3,261,8,low,M,10,4145
8619,A,Road,2,1,258,5,low,F,9,1548
5748,F,Road,5,3,280,3,high,M,2,5273
10191,A,Ship,5,5,235,5,low,M,8,1332
4600,B,Ship,5,3,223,2,medium,F,9,5735
10604,F,Ship,6,4,230,4,low,M,3,4736
10282,B,Flight,3,2,152,3,medium,F,7,4244
7183,D,Ship,4,4,184,3,low,M,4,1330
4868,F,Ship,3,3,166,2,medium,F,8,5871
10205,C,Ship,5,2,248,5,medium,F,1,1845
3866,F,Ship,3,4,209,3,medium,M,2,4976
7439,C,Ship,3,5,275,4,medium,M,10,5066
8770,B,Flight,5,2,174,5,medium,M,8,4656
7917,A,Ship,3,3,230,3,low,M,4,4018
8064,F,Road,3,2,235,2,medium,F,10,4172
2443,D,Road,4,3,271,2,medium,M,22,2595
2942,F,Ship,2,3,160,4,low,F,53,1850
3378,F,Ship,4,4,190,3,low,M,2,4800
9207,A,Ship,3,2,226,2,low,M,10,4254
3964,B,Road,4,5,213,3,medium,F,7,4114
4855,D,Ship,2,5,284,3,medium,M,6,4575
7043,C,Ship,6,4,272,4,low,F,4,4098
9511,D,Ship,4,1,183,3,low,M,3,5178
3777,A,Ship,4,4,257,10,medium,M,4,4710
5287,D,Ship,3,5,218,2,low,M,4,5142
7641,A,Ship,4,1,151,3,low,F,4,5610
10010,F,Flight,4,1,269,3,low,F,3,4409
1249,D,Flight,5,2,217,3,low,M,27,2999
4818,F,Ship,7,1,290,4,low,F,9,1885
3129,A,Road,3,1,169,3,high,M,24,1740
6093,A,Ship,5,1,279,4,medium,F,3,4607
7272,F,Flight,4,2,220,2,medium,M,5,5864
8040,F,Ship,4,1,245,5,low,F,3,1537
4859,C,Ship,5,4,193,4,high,F,4,5757
5913,A,Ship,5,1,193,4,medium,F,10,5280
3260,F,Ship,3,3,202,3,medium,F,8,5486
10887,A,Ship,4,2,226,2,low,F,2,4332
1395,A,Ship,6,2,294,4,low,M,57,1265
5024,F,Ship,6,5,274,4,low,M,6,1066
9410,F,Ship,7,1,264,4,medium,F,5,1238
10750,B,Ship,3,1,202,3,medium,M,5,1556
9246,F,Ship,4,3,174,3,medium,M,2,4069
1790,F,Flight,5,2,231,4,medium,M,41,2992
5580,F,Ship,5,5,139,4,medium,F,3,4433
376,B,Ship,3,5,262,2,low,F,53,3275
3728,F,Ship,3,4,148,4,high,F,1,4249
5942,F,Ship,4,2,244,3,high,M,1,5559
2166,F,Road,3,1,177,2,low,M,38,1099
9958,B,Ship,7,4,282,4,low,M,6,1800
9490,B,Ship,3,4,266,3,medium,M,9,5908
9202,B,Ship,5,5,252,5,low,M,9,4135
6934,B,Ship,4,5,161,2,high,F,5,5133
985,D,Ship,3,3,167,3,medium,F,24,1111
10969,D,Flight,4,4,257,5,medium,F,4,1668
1890,F,Ship,3,4,190,10,medium,F,38,2018
3780,F,Ship,2,1,111,2,low,F,1,4296
5635,D,Ship,3,4,145,2,high,F,5,5513
2064,F,Flight,4,1,124,2,medium,M,22,1714
4833,A,Ship,4,5,140,3,medium,F,8,4956
5926,B,Ship,6,5,280,3,low,M,9,4074
8414,F,Ship,4,3,257,3,low,M,8,4447
5776,B,Ship,5,2,264,6,medium,M,10,1659
7344,F,Ship,3,2,151,2,medium,M,1,5179
2032,B,Road,3,2,143,4,medium,F,22,1249
5630,F,Flight,4,4,265,2,medium,F,9,4106
6385,D,Ship,3,1,166,2,high,F,6,5905
947,C,Road,4,2,161,3,low,F,22,1819
9865,D,Flight,3,4,271,3,medium,M,1,4444
2525,C,Ship,4,2,191,3,high,M,3,2353
4552,B,Ship,6,2,310,4,medium,F,5,1791
8334,F,Road,4,1,262,6,low,M,1,1627
7258,B,Flight,5,5,239,3,medium,M,8,4975
3545,C,Road,3,4,248,4,medium,M,8,4540
4346,F,Ship,4,3,245,3,low,M,8,4826
5158,B,Ship,4,2,274,2,low,M,10,4361
3392,F,Ship,4,2,178,8,medium,M,5,4120
8903,C,Flight,6,3,269,4,low,F,4,1948
10703,C,Flight,5,5,260,5,low,F,2,1128
4876,B,Ship,4,5,234,3,medium,F,3,5142
1,D,Flight,4,2,177,3,low,F,44,1233
6609,A,Ship,5,1,236,6,medium,F,4,1705
319,D,Ship,3,1,200,2,medium,M,27,2551
1618,B,Road,3,2,204,3,medium,M,48,2792
2890,B,Flight,4,3,149,3,medium,M,17,1990
4030,B,Ship,4,1,209,2,low,F,10,5066
1289,C,Ship,3,4,222,3,medium,M,57,2714
976,B,Flight,5,5,249,3,medium,M,55,3558
3317,C,Ship,3,5,132,2,low,M,10,4462
6844,B,Road,4,5,134,10,medium,M,5,4244
9306,F,Road,6,3,199,4,medium,F,1,5204
8267,C,Ship,6,4,263,4,low,M,3,1276
2095,D,Ship,3,5,272,10,medium,M,59,2182
10432,B,Ship,4,2,156,3,medium,M,5,4946
8748,F,Road,5,5,221,3,medium,M,9,5295
1885,D,Ship,5,4,269,3,medium,F,51,3415
4508,F,Road,6,1,174,10,medium,F,1,5784
5316,F,Ship,3,1,219,3,medium,M,6,4893
6798,F,Ship,4,4,250,3,low,M,10,4505
4991,C,Ship,2,3,198,2,medium,F,6,1996
6450,F,Flight,5,2,240,3,low,M,7,4744
650,F,Ship,5,4,162,2,low,F,54,1635
6001,D,Ship,4,5,239,6,low,M,4,1451
6684,F,Ship,4,4,157,2,low,M,9,4491
3334,B,Ship,5,3,204,3,high,F,1,4037
9393,A,Ship,4,5,157,2,medium,F,1,5054
8813,C,Ship,3,1,242,8,medium,F,8,5401
3755,C,Ship,5,1,111,4,high,F,2,5978
5001,A,Ship,5,3,131,8,low,F,5,4149
4370,F,Road,3,5,244,3,low,M,3,4652
579,A,Ship,3,2,173,3,low,F,15,1992
3751,D,Ship,3,5,224,2,low,F,10,4445
8124,F,Ship,3,5,152,4,medium,M,2,4809
8740,B,Ship,5,2,169,2,medium,M,4,6000
4730,F,Ship,5,3,251,2,low,M,9,4458
2803,D,Ship,3,3,99,3,high,M,63,1223
2641,D,Ship,4,5,137,2,medium,F,14,1796
10022,F,Ship,4,5,268,2,low,M,2,4721
6616,B,Ship,6,5,266,4,low,M,8,1709
7554,F,Ship,3,3,168,2,low,F,10,4583
3119,C,Ship,2,4,182,4,medium,M,1,3624
6257,C,Ship,6,4,255,4,low,M,7,1869
7121,C,Flight,4,4,260,3,low,M,9,4224
137,C,Flight,3,3,189,4,medium,F,51,2208
2535,A,Ship,4,3,261,3,low,F,6,2787
6972,F,Road,3,5,151,2,medium,M,8,4408
5371,D,Ship,4,1,158,3,medium,M,5,5782
181,D,Ship,4,1,161,7,medium,F,18,1294
7944,F,Flight,4,5,173,4,low,M,7,4978
6656,F,Ship,4,5,272,2,medium,F,1,5378
1734,F,Ship,2,3,192,2,low,F,31,2621
5286,F,Ship,6,2,304,4,low,F,9,1392
8667,A,Ship,5,5,161,3,low,F,5,4702
391,D,Road,4,1,259,3,low,M,20,2154
6499,D,Ship,6,1,298,4,low,F,1,1735
5534,F,Ship,6,3,269,4,medium,F,6,1822
178,B,Ship,4,5,116,3,medium,M,54,1314
5745,A,Road,4,5,134,3,medium,F,4,5423
3486,F,Ship,4,1,182,2,medium,F,10,5638
6034,B,Flight,5,3,260,5,medium,M,8,1001
3450,F,Ship,4,1,163,4,medium,M,2,5432
6704,F,Road,4,2,181,3,low,M,10,4212
10315,D,Ship,3,4,195,2,low,F,5,4660
6181,D,Flight,4,3,235,3,low,F,4,5289
3261,A,Ship,4,5,273,3,low,F,1,5043
3479,C,Ship,5,2,260,3,low,M,1,4799
8388,F,Ship,4,4,175,5,low,M,10,4498
6178,B,Flight,2,1,220,2,medium,F,6,4382
1425,A,Ship,4,5,253,7,medium,F,11,3825
10731,A,Ship,4,1,253,5,low,F,1,1235
1187,C,Ship,4,4,135,10,medium,F,57,1361
9614,F,Ship,4,4,256,3,low,F,5,5399
3239,C,Ship,4,3,250,3,medium,F,3,5055
1084,B,Road,3,1,227,3,medium,F,47,3512
2883,A,Flight,3,1,105,3,low,M,58,1304
1687,D,Ship,2,2,219,3,low,F,56,3608
4854,F,Ship,4,2,159,3,low,M,5,4985
4701,A,Ship,3,1,201,3,low,F,3,4556
7720,B,Ship,5,1,239,5,low,M,1,1239
568,B,Ship,5,2,268,3,low,M,19,2526
2881,D,Flight,3,2,165,3,medium,M,47,1639
3799,D,Ship,5,1,241,3,high,M,8,5306
9176,F,Flight,5,3,224,5,medium,M,9,1643
3801,A,Ship,5,4,156,4,low,M,1,5533
2796,F,Ship,3,2,102,4,medium,M,57,1220
4042,B,Ship,5,5,243,2,low,M,9,4669
8537,C,Ship,6,1,222,8,low,M,2,4914
4366,B,Road,5,2,260,6,high,M,10,4087
1883,C,Ship,4,1,201,10,medium,M,37,3402
10062,F,Ship,3,1,189,3,low,M,1,4886
1323,A,Ship,2,3,141,2,medium,F,28,1624
6652,B,Ship,4,3,123,4,medium,M,6,4166
10308,F,Ship,4,2,225,2,medium,F,5,5943
8593,D,Ship,4,1,167,4,high,M,7,5264
51,A,Ship,4,1,183,3,low,M,37,2042
9126,F,Ship,2,4,204,10,low,F,4,4679
10580,F,Ship,5,2,176,4,low,M,10,5532
5340,F,Flight,5,1,162,3,medium,F,1,5537
10445,C,Ship,5,2,245,5,low,M,8,1528
10065,A,Ship,3,1,258,2,low,F,4,5262
9032,F,Road,3,3,250,4,medium,M,1,4717
612,F,Ship,4,2,147,2,medium,F,20,1387
123,A,Road,4,2,160,3,low,M,64,1714
312,F,Ship,3,2,154,3,low,F,56,1136
4414,B,Ship,3,2,224,2,medium,F,3,4405
9899,C,Ship,2,1,285,3,high,F,7,4999
2144,F,Ship,3,1,154,2,medium,F,56,1300
3221,C,Ship,3,1,263,2,medium,M,9,4868
2352,F,Ship,5,1,237,4,low,M,33,2605
8190,F,Ship,3,1,259,2,low,F,3,4380
9345,A,Ship,4,1,253,3,medium,F,9,5502
2912,F,Ship,3,4,274,3,medium,M,19,3076
946,B,Road,2,2,163,3,medium,M,35,1547
9969,A,Ship,3,3,196,3,low,M,4,5622
4182,F,Ship,4,5,169,2,low,F,10,4248
6920,F,Ship,6,1,288,4,medium,M,8,1806
5253,A,Ship,6,5,293,5,low,F,1,1278
8782,B,Flight,3,2,199,3,low,F,8,5431
7760,F,Ship,7,5,253,4,low,M,10,1166
2858,F,Road,2,1,178,3,low,M,6,1184
9782,F,Ship,3,3,168,2,low,M,1,5097
2360,F,Ship,4,1,181,3,medium,M,38,3258
10028,F,Ship,5,5,207,4,low,F,1,5035
9921,A,Ship,6,4,284,4,low,F,7,1518
8712,F,Ship,4,5,223,3,low,M,9,5649
7678,B,Flight,6,3,269,4,medium,F,3,1022
7417,D,Ship,4,1,242,6,low,M,4,1791
3626,F,Ship,3,4,165,2,medium,F,8,4280
5737,D,Road,4,5,188,3,low,M,4,4632
7029,A,Ship,3,4,196,4,low,F,4,5031
1353,A,Road,4,1,162,2,low,F,47,1540
846,F,Ship,5,2,145,5,medium,F,22,1818
6561,A,Road,6,5,269,4,low,F,2,1243
10530,F,Road,3,2,235,2,medium,F,9,5116
1230,F,Flight,3,2,119,2,low,M,32,1791
7211,C,Ship,6,5,248,4,low,F,10,1005
84,F,Ship,5,5,162,3,high,F,31,1364
8532,F,Ship,4,2,233,4,high,F,1,4316
8804,F,Ship,3,5,195,2,medium,F,9,5832
2807,C,Ship,3,1,187,4,medium,M,42,3621
8100,F,Flight,5,1,282,5,low,M,6,5182
3419,C,Road,4,4,266,3,medium,F,2,5413
4150,B,Ship,3,1,241,2,low,M,8,5602
9589,D,Flight,2,1,181,4,low,F,2,4747
7291,D,Ship,3,4,246,3,high,F,1,4273
4985,C,Ship,4,2,196,3,low,M,1,5172
6805,D,Ship,4,4,182,3,high,F,7,5197
149,C,Flight,3,3,135,3,low,M,56,1490
5740,B,Road,4,5,164,3,high,M,7,4657
2033,C,Road,3,4,195,2,medium,F,32,3719
3124,B,Ship,4,4,222,3,low,F,24,3503
1703,C,Ship,5,2,188,3,medium,F,50,3992
2715,A,Road,4,4,225,3,low,M,51,2892
2853,A,Road,4,4,153,3,low,F,27,1613
1168,B,Ship,4,1,227,2,high,M,60,3080
7564,B,Ship,4,5,275,5,low,F,6,4450
6275,C,Ship,6,5,300,5,low,M,1,1188
5437,D,Ship,4,5,253,2,low,M,8,5652
8808,F,Ship,4,4,224,3,medium,F,1,4231
9216,F,Ship,3,4,162,3,medium,M,7,5313
7413,A,Flight,6,5,250,4,low,M,8,1689
7325,C,Ship,3,1,212,2,medium,M,7,5022
9713,C,Road,6,1,280,4,low,F,5,1624
3844,B,Flight,3,1,199,6,medium,F,7,4805
5552,F,Ship,3,5,253,3,medium,M,9,5979
1673,C,Ship,3,2,260,3,medium,M,52,2874
7762,B,Ship,4,1,241,5,low,F,4,1145
2267,C,Ship,5,3,194,3,medium,F,6,2736
9002,F,Ship,3,3,200,3,low,M,3,5739
10515,A,Ship,4,1,225,3,medium,M,9,4242
7484,F,Ship,6,4,284,4,low,M,7,1584
6323,C,Ship,3,3,176,3,low,F,1,5168
9451,D,Flight,7,4,296,4,low,F,10,1033
6641,C,Ship,4,1,156,2,low,M,8,5488
3995,C,Ship,3,3,253,4,low,F,9,4682
47,C,Ship,3,4,169,4,medium,F,32,1245
6913,D,Ship,5,1,251,5,low,F,7,1924
4716,F,Ship,3,3,204,4,high,M,9,4712
9020,F,Road,4,1,241,3,low,M,6,5836
1420,B,Ship,4,5,161,2,medium,M,55,1457
1837,D,Ship,3,1,180,3,low,M,52,1838
5191,D,Road,4,4,231,2,low,F,4,5825
8309,C,Ship,4,1,263,5,low,M,3,1777
6190,B,Ship,4,4,274,2,low,F,3,4257
6576,F,Flight,4,1,273,5,low,F,7,1922
9526,B,Ship,3,5,251,3,low,M,1,5073
2986,B,Ship,6,5,161,4,medium,F,20,1338
654,F,Ship,3,1,157,2,high,M,19,1898
