,ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
3991,3992,F,Ship,3,4,211,3,low,F,6,5890
8257,8258,F,Ship,6,4,254,4,low,M,2,1174
4807,4808,F,Flight,6,3,254,4,low,M,6,1335
247,248,F,Road,2,4,160,3,low,F,50,1030
5271,5272,B,Ship,7,4,243,4,medium,F,6,1362
2900,2901,A,Ship,3,3,274,3,low,M,6,2986
1982,1983,A,Ship,4,5,134,4,low,M,36,1191
4139,4140,F,Ship,4,3,201,2,low,F,4,4955
8818,8819,C,Ship,4,5,234,5,low,F,2,1087
199,200,F,Ship,2,2,154,3,medium,M,38,7846
8692,8693,C,Ship,4,3,229,2,low,M,6,4226
485,486,F,Ship,5,5,263,8,medium,F,9,2236
2879,2880,F,Flight,4,1,195,2,medium,M,19,2878
10341,10342,B,Ship,3,5,206,2,low,M,3,5113
7393,7394,F,Flight,4,5,152,7,low,M,9,4224
8331,8332,B,Road,7,5,287,4,low,F,8,1748
2823,2824,B,Ship,2,4,147,2,medium,F,65,1738
455,456,F,Ship,4,1,149,3,medium,M,54,1178
10779,10780,B,Ship,5,2,269,5,medium,F,9,1165
9729,9730,B,Flight,4,1,154,4,medium,M,1,5480
3245,3246,F,Ship,3,4,136,3,medium,M,2,4524
8060,8061,A,Road,5,5,186,4,low,M,3,4287
1721,1722,F,Ship,3,2,270,3,medium,M,31,2377
4489,4490,F,Ship,3,2,134,3,low,M,6,4778
8019,8020,B,Ship,7,5,289,4,low,M,3,1656
5914,5915,C,Ship,4,5,205,4,medium,F,5,5264
9638,9639,A,Ship,4,4,140,2,low,M,6,4703
2794,2795,C,Ship,2,1,159,2,low,F,44,1213
8534,8535,A,Ship,4,3,134,4,low,F,5,4507
7019,7020,F,Ship,4,4,139,3,medium,M,2,5135
7076,7077,A,Ship,3,1,199,3,medium,F,8,5557
524,525,A,Road,5,2,154,3,low,M,40,1238
862,863,C,Ship,5,4,269,2,medium,M,38,2770
2094,2095,D,Ship,3,5,272,10,medium,M,59,2182
947,948,F,Road,4,1,264,2,low,M,8,2436
5865,5866,B,Road,4,5,259,3,medium,M,4,5344
1444,1445,C,Ship,5,5,230,3,medium,M,43,3609
1280,1281,A,Ship,3,4,179,3,high,M,57,1582
10348,10349,C,Ship,5,4,187,4,medium,F,1,4147
122,123,A,Road,4,2,160,3,low,M,64,1714
5129,5130,F,Ship,2,1,108,3,low,M,4,5924
6601,6602,F,Ship,4,3,274,5,low,M,5,1512
10424,10425,A,Flight,5,5,272,2,low,M,1,4883
10804,10805,C,Road,4,3,268,5,medium,M,7,1932
9315,9316,B,Flight,5,4,260,4,low,M,4,5911
8640,8641,D,Flight,4,5,275,5,medium,F,8,1093
2302,2303,C,Road,5,2,234,6,low,F,58,2448
5702,5703,A,Ship,4,4,188,3,low,M,6,4174
9941,9942,F,Ship,5,3,263,5,medium,F,6,1192
8296,8297,C,Ship,3,2,215,4,high,M,2,4673
2004,2005,D,Ship,5,4,285,6,high,M,63,3151
4698,4699,D,Ship,4,3,213,3,low,F,2,5722
9592,9593,C,Flight,4,3,249,4,medium,M,10,5614
1005,1006,B,Ship,5,1,271,2,high,M,46,2744
7055,7056,F,Ship,3,3,261,4,low,M,3,5722
7678,7679,C,Flight,3,2,189,2,medium,F,3,4617
4091,4092,F,Road,4,2,277,5,medium,F,8,1335
3055,3056,F,Ship,4,2,247,5,medium,F,17,3630
2885,2886,F,Flight,4,1,253,3,low,M,36,2591
7431,7432,B,Ship,3,2,166,2,medium,M,6,4765
2132,2133,A,Ship,4,1,235,3,high,F,22,3695
5638,5639,C,Ship,4,1,177,3,medium,F,5,4382
8401,8402,F,Ship,3,3,151,3,medium,F,1,5297
10556,10557,A,Flight,4,1,227,3,high,M,8,4795
4564,4565,C,Ship,6,3,310,4,low,F,2,1817
2057,2058,F,Flight,3,4,254,2,high,M,56,3266
188,189,A,Ship,2,5,139,3,low,F,27,1233
229,230,F,Ship,3,3,162,7,medium,F,42,1278
10501,10502,F,Ship,2,1,184,2,high,F,3,4331
6984,6985,D,Flight,4,4,215,2,low,F,7,5151
10058,10059,A,Ship,4,1,256,4,medium,F,3,5324
7288,7289,C,Ship,4,3,217,3,medium,F,7,4723
8854,8855,C,Ship,3,1,138,10,low,F,4,4496
3007,3008,F,Road,4,3,161,3,low,F,52,1199
5550,5551,D,Ship,3,5,145,2,low,F,2,4232
9223,9224,F,Ship,4,5,141,2,low,F,10,5907
209,210,F,Ship,2,5,148,3,high,F,11,1502
4096,4097,C,Road,3,5,215,3,low,M,4,4828
2750,2751,A,Flight,3,5,214,8,high,M,50,3628
7624,7625,C,Ship,5,1,210,2,low,M,2,4079
4246,4247,C,Flight,3,4,221,3,low,F,1,4518
10734,10735,D,Ship,5,5,275,5,low,M,4,1646
280,281,C,Flight,3,1,205,3,medium,M,39,3062
2944,2945,C,Ship,5,4,273,3,low,F,60,3384
6014,6015,A,Road,2,3,211,3,low,F,8,1172
10331,10332,F,Ship,4,5,161,3,medium,F,2,5378
2718,2719,D,Road,3,1,135,3,low,F,38,1829
9457,9458,F,Flight,4,4,260,5,low,F,5,1178
5805,5806,B,Ship,3,3,178,3,low,M,3,5396
4715,4716,F,Ship,3,3,204,4,high,M,9,4712
1728,1729,D,Ship,2,3,249,2,low,M,1,2905
5082,5083,D,Flight,3,1,161,3,low,M,9,4865
337,338,F,Ship,4,4,201,2,low,F,1,3147
6074,6075,A,Ship,4,3,145,4,medium,M,2,5735
4233,4234,B,Road,4,5,259,3,medium,M,3,4741
2650,2651,C,Ship,4,1,274,4,medium,F,42,2430
8994,8995,D,Ship,3,1,217,3,low,F,1,4177
9388,9389,C,Ship,6,3,141,3,low,M,7,5222
8495,8496,F,Flight,4,2,185,3,low,M,8,4322
7637,7638,F,Ship,3,4,195,4,low,M,3,4743
5128,5129,C,Ship,3,3,271,4,high,M,3,4006
9597,9598,B,Flight,3,5,268,3,low,M,7,4910
3482,3483,A,Ship,3,5,216,4,low,F,3,4934
1226,1227,A,Road,3,3,150,2,medium,F,61,1053
4474,4475,C,Ship,6,3,142,2,low,F,9,5360
6572,6573,A,Flight,7,5,302,4,low,M,3,1597
2144,2145,A,Ship,3,5,237,3,low,M,55,2451
9671,9672,F,Ship,6,5,245,4,low,F,7,1521
9396,9397,D,Ship,7,5,255,4,low,M,7,1104
2111,2112,F,Ship,3,2,212,2,medium,F,65,3776
7325,7326,F,Ship,3,2,239,4,medium,F,10,4410
6827,6828,F,Road,7,3,279,4,medium,M,8,1060
4377,4378,B,Road,2,2,158,3,high,F,1,4149
5635,5636,F,Ship,3,2,268,3,low,M,9,4215
3110,3111,A,Ship,4,4,146,4,low,M,12,1899
8593,8594,F,Ship,3,3,188,4,medium,M,1,4296
1017,1018,B,Ship,3,3,148,2,low,M,42,1950
6232,6233,C,Ship,3,3,146,3,medium,F,4,5384
181,182,F,Ship,4,5,157,3,low,M,20,1487
6495,6496,B,Ship,7,4,296,4,low,F,8,1717
1928,1929,A,Flight,5,5,177,2,high,F,31,2000
5965,5966,F,Ship,4,5,239,6,low,M,2,1879
350,351,A,Ship,4,5,188,3,low,F,13,2409
4097,4098,F,Road,6,1,139,5,medium,M,1,4243
2201,2202,F,Flight,3,4,144,2,low,F,33,1811
9050,9051,A,Flight,4,5,161,3,low,F,5,4732
1934,1935,A,Flight,4,4,216,4,medium,M,27,3740
5803,5804,F,Ship,4,5,143,3,medium,F,8,4142
8300,8301,A,Ship,5,2,184,3,low,F,4,4552
10801,10802,F,Road,5,3,234,5,low,M,7,1691
9746,9747,A,Ship,4,5,196,3,low,F,4,5610
4901,4902,F,Ship,4,3,164,2,low,M,3,5735
6137,6138,F,Ship,3,3,168,4,low,F,4,4096
564,565,D,Flight,3,3,234,2,medium,F,39,2449
1582,1583,C,Ship,3,3,143,3,low,M,64,1630
10212,10213,D,Ship,5,5,237,5,medium,F,9,1709
2175,2176,B,Road,3,5,230,3,low,F,49,3477
8925,8926,B,Ship,7,1,258,4,low,F,3,1482
2540,2541,A,Ship,3,3,140,2,medium,F,30,1547
8222,8223,A,Flight,4,2,203,4,medium,F,9,4217
5338,5339,C,Flight,2,5,254,2,low,M,10,5718
8866,8867,C,Ship,5,1,267,6,low,M,3,1803
2707,2708,F,Ship,2,1,200,3,medium,M,34,2199
3372,3373,D,Ship,3,2,234,4,high,F,7,4568
10860,10861,D,Ship,5,3,237,3,high,M,7,4208
2228,2229,A,Ship,3,4,198,2,medium,M,19,2373
1115,1116,F,Ship,4,2,272,2,low,M,21,3271
10702,10703,C,Flight,5,5,260,5,low,F,2,1128
5032,5033,C,Ship,6,5,249,4,low,F,8,1274
4189,4190,F,Ship,4,1,190,2,medium,F,4,4501
4081,4082,F,Ship,3,2,229,7,high,M,3,5584
4504,4505,C,Road,6,2,263,6,low,F,4,4591
6156,6157,D,Road,3,4,273,4,medium,M,4,5361
8149,8150,F,Ship,5,1,279,5,medium,M,4,4405
6513,6514,B,Ship,4,2,240,5,medium,M,7,1711
9063,9064,B,Ship,6,2,225,4,low,M,6,5787
3429,3430,B,Flight,3,5,245,6,high,M,9,4793
821,822,F,Flight,2,1,98,3,low,F,29,1806
2063,2064,F,Flight,4,1,124,2,medium,M,22,1714
2272,2273,C,Ship,5,5,234,6,low,F,52,2615
10110,10111,D,Ship,5,4,196,2,medium,M,2,5515
81,82,B,Ship,2,5,132,3,low,M,18,1759
1323,1324,B,Ship,5,1,225,2,medium,M,31,3454
6811,6812,F,Ship,4,3,249,6,low,M,2,1046
9320,9321,A,Flight,4,1,252,4,low,F,7,5459
1614,1615,D,Ship,5,2,111,5,medium,M,3,1711
2697,2698,B,Ship,3,5,272,2,medium,M,31,2438
831,832,B,Flight,3,5,224,3,medium,F,20,2937
10101,10102,B,Ship,4,3,203,2,low,M,8,5597
10709,10710,F,Ship,5,1,241,5,low,F,5,1116
6282,6283,D,Road,6,2,251,4,medium,F,9,1322
2420,2421,A,Ship,5,2,249,5,high,F,28,2846
8819,8820,F,Ship,5,4,242,5,low,M,1,1571
10798,10799,C,Road,4,2,253,5,medium,F,9,1438
2833,2834,F,Ship,4,1,165,4,medium,F,34,1831
9152,9153,A,Road,7,2,267,4,medium,M,8,1285
7936,7937,C,Road,4,3,153,4,low,M,4,5161
4100,4101,A,Road,2,1,151,3,low,F,5,5982
1649,1650,F,Flight,3,4,204,3,medium,F,27,2772
4972,4973,C,Ship,3,5,239,6,low,F,8,5791
6001,6002,F,Road,4,3,270,5,low,F,3,1786
3995,3996,F,Ship,3,1,185,2,medium,M,8,5430
6625,6626,F,Ship,4,1,164,3,low,M,4,5910
8570,8571,A,Ship,3,1,165,3,low,M,10,5823
8493,8494,B,Flight,3,1,267,2,low,M,7,4486
10318,10319,C,Ship,2,5,243,3,medium,F,9,4182
8291,8292,F,Ship,4,2,208,3,low,M,8,4342
8885,8886,F,Road,6,4,253,4,medium,F,6,1961
2689,2690,F,Ship,4,1,198,3,medium,F,56,3135
10584,10585,D,Ship,5,5,187,3,medium,F,5,4613
3608,3609,A,Ship,3,5,257,3,low,M,5,5657
749,750,F,Ship,4,5,185,3,medium,M,17,2824
6440,6441,A,Flight,3,4,186,6,low,F,8,4134
2373,2374,B,Ship,5,2,140,3,medium,F,16,1969
2442,2443,D,Road,4,3,271,2,medium,M,22,2595
6100,6101,C,Ship,4,3,163,3,low,F,7,4556
7593,7594,B,Ship,5,3,150,4,medium,F,1,5211
2758,2759,C,Ship,5,5,149,7,medium,F,50,1346
10706,10707,A,Ship,5,4,255,6,low,M,4,1255
7968,7969,D,Ship,4,5,169,4,low,F,6,4213
9211,9212,F,Ship,3,2,151,2,low,F,3,4759
6128,6129,A,Ship,3,3,132,2,medium,M,1,4687
7386,7387,D,Road,5,5,207,2,high,M,8,5066
4597,4598,F,Ship,4,4,197,3,low,F,7,5099
8424,8425,D,Ship,3,3,160,4,medium,F,7,5147
10111,10112,F,Road,4,4,258,3,high,M,2,5420
6472,6473,C,Ship,3,5,270,3,medium,M,7,5477
8531,8532,F,Ship,4,2,233,4,high,F,1,4316
5666,5667,A,Ship,5,3,280,4,medium,F,4,5192
5856,5857,D,Ship,3,4,203,2,low,M,9,5735
10104,10105,D,Ship,2,4,252,4,medium,M,4,4787
6273,6274,B,Ship,6,5,251,4,low,F,8,1038
1139,1140,F,Ship,4,5,171,6,medium,F,27,1840
8797,8798,F,Ship,3,3,150,2,medium,M,9,4100
2231,2232,F,Ship,4,3,218,3,high,F,57,3311
2164,2165,C,Ship,5,4,165,3,medium,F,48,1240
2886,2887,D,Flight,3,1,231,4,medium,F,60,3755
6494,6495,A,Ship,6,1,283,4,low,M,8,1404
7774,7775,C,Ship,4,2,174,2,low,F,8,4295
2777,2778,F,Ship,3,4,214,8,high,F,6,2924
7224,7225,D,Ship,3,1,271,3,low,M,4,4108
3686,3687,A,Road,4,2,197,3,low,M,4,5800
1570,1571,C,Ship,3,3,201,4,medium,M,7,2299
172,173,C,Ship,3,4,148,3,low,M,56,1550
639,640,B,Ship,3,4,247,4,low,M,59,2939
4395,4396,B,Flight,4,3,149,3,medium,F,3,4781
2087,2088,F,Ship,4,2,124,2,medium,M,50,1592
3128,3129,A,Road,3,1,169,3,high,M,24,1740
2400,2401,D,Ship,2,5,171,3,medium,F,13,1101
5559,5560,B,Ship,4,1,144,4,medium,M,6,5197
1143,1144,B,Ship,3,3,224,2,low,F,37,3220
7699,7700,F,Ship,2,1,149,4,medium,F,7,5434
5731,5732,F,Road,3,4,191,5,medium,F,4,4243
8929,8930,F,Ship,4,3,269,5,low,M,2,1273
9230,9231,A,Ship,5,5,253,2,high,F,3,4851
9830,9831,A,Ship,4,3,213,4,medium,M,8,4220
1832,1833,A,Ship,3,4,166,2,medium,F,58,1319
10135,10136,F,Flight,4,1,196,3,medium,F,9,5216
5168,5169,A,Ship,5,4,269,2,low,F,9,5517
7744,7745,C,Ship,5,3,243,5,low,F,9,1312
10053,10054,B,Ship,3,4,270,3,medium,F,10,5417
8372,8373,A,Flight,4,2,246,3,medium,M,1,5113
5371,5372,F,Ship,4,2,257,2,low,M,7,5325
5582,5583,A,Ship,5,4,140,4,low,F,10,4528
5023,5024,F,Ship,6,5,274,4,low,M,6,1066
6165,6166,B,Flight,5,5,267,3,medium,M,9,4775
834,835,D,Flight,5,4,271,3,medium,F,16,2563
2486,2487,A,Ship,2,2,147,2,medium,F,49,1447
8246,8247,A,Ship,3,2,215,4,high,M,1,4158
4969,4970,F,Ship,4,3,275,3,low,F,3,4824
6940,6941,C,Ship,3,5,276,5,low,F,10,5302
4089,4090,B,Road,5,3,236,2,medium,M,6,1329
4625,4626,F,Ship,4,4,184,3,medium,F,2,5381
5467,5468,F,Road,6,3,304,5,medium,F,6,1184
819,820,B,Flight,4,5,154,2,low,F,49,1532
65,66,F,Ship,3,2,202,3,low,M,49,2881
4253,4254,F,Flight,5,5,133,2,low,F,10,4398
6855,6856,B,Flight,6,3,285,7,medium,M,7,5030
2024,2025,A,Ship,3,4,210,3,low,F,7,2878
7571,7572,F,Ship,4,1,191,3,low,M,2,5189
354,355,D,Ship,3,2,132,3,low,F,56,1303
5955,5956,B,Ship,3,4,153,3,medium,F,9,5474
4948,4949,C,Flight,5,4,275,4,low,F,7,4597
6234,6235,D,Ship,4,4,133,4,high,F,7,5973
1808,1809,A,Ship,4,1,151,5,high,M,28,1148
9578,9579,A,Road,3,1,236,3,medium,F,8,5341
10297,10298,F,Ship,4,3,166,4,medium,F,1,4536
5027,5028,F,Ship,7,4,295,4,low,M,5,1239
8939,8940,F,Ship,4,3,208,3,medium,F,7,4525
5015,5016,F,Ship,2,3,151,4,low,F,3,1353
5257,5258,F,Ship,6,1,275,4,low,F,5,1228
5351,5352,F,Flight,5,2,254,5,medium,F,2,5655
4137,4138,B,Ship,2,3,243,5,medium,M,5,4750
472,473,C,Ship,2,2,189,4,low,M,9,3413
8067,8068,B,Road,3,1,225,2,low,F,2,4438
3127,3128,F,Road,3,3,193,2,low,M,19,3097
3737,3738,F,Ship,4,4,159,3,medium,M,3,5545
6418,6419,C,Road,4,1,195,3,low,M,2,4418
9159,9160,B,Road,6,3,309,4,medium,M,2,1270
7632,7633,D,Ship,4,1,237,4,low,F,4,4697
4852,4853,C,Ship,4,4,254,4,low,F,10,4827
868,869,C,Ship,3,1,218,3,low,M,4,2304
10562,10563,A,Flight,3,5,190,5,high,F,7,4457
10031,10032,F,Ship,4,1,139,3,medium,F,7,4275
8520,8521,D,Ship,3,5,191,4,low,M,4,4008
1506,1507,D,Flight,5,3,267,3,low,M,48,3393
9214,9215,C,Ship,4,2,156,3,low,F,1,5361
7413,7414,B,Flight,5,4,245,5,low,F,5,1293
6226,6227,C,Ship,4,4,227,5,low,M,8,1982
3728,3729,A,Ship,5,2,181,3,low,M,7,5875
7299,7300,B,Ship,5,4,250,4,low,M,2,4183
6081,6082,B,Ship,4,2,270,2,high,F,9,5080
2770,2771,C,Ship,4,4,132,4,medium,F,44,1692
10275,10276,B,Flight,3,5,146,3,medium,M,8,5637
6879,6880,B,Ship,4,2,251,6,medium,F,1,1154
8539,8540,F,Ship,5,4,211,3,low,M,9,4908
4791,4792,B,Flight,5,5,232,3,low,F,3,5718
1075,1076,F,Road,5,2,239,3,low,F,47,3673
3887,3888,F,Ship,4,3,174,2,low,M,10,5554
7874,7875,A,Ship,4,5,236,4,medium,M,1,4082
9384,9385,D,Ship,4,1,184,7,medium,F,6,4956
3209,3210,F,Ship,5,2,173,2,low,M,7,5836
5689,5690,F,Ship,4,4,135,2,low,M,4,4684
1399,1400,F,Ship,5,2,165,2,medium,F,18,1918
5397,5398,B,Ship,5,3,202,4,low,M,6,5107
10418,10419,A,Flight,5,3,270,5,low,F,1,1568
9413,9414,F,Ship,6,3,244,5,medium,F,5,1092
5603,5604,F,Road,4,4,150,2,medium,F,1,4711
5218,5219,C,Flight,6,3,274,4,low,M,2,1833
2379,2380,B,Ship,4,2,225,3,low,M,52,3189
7182,7183,D,Ship,4,4,184,3,low,M,4,1330
1602,1603,D,Ship,6,4,241,6,high,F,61,2806
5254,5255,C,Ship,6,3,274,4,low,M,10,1174
73,74,F,Ship,4,5,215,3,medium,F,21,3984
6681,6682,B,Ship,4,4,273,2,medium,M,6,5676
4502,4503,A,Road,4,5,148,8,medium,M,6,5700
5325,5326,B,Road,4,2,252,6,medium,M,2,5476
8146,8147,C,Ship,2,5,233,3,low,M,9,4751
3428,3429,A,Flight,3,4,149,3,low,F,5,5467
8743,8744,F,Road,4,4,183,2,low,F,7,4572
1101,1102,B,Flight,6,2,159,5,medium,F,22,1247
4352,4353,A,Ship,5,1,134,2,low,M,8,5646
10498,10499,C,Ship,3,4,247,3,medium,M,8,5792
7785,7786,B,Road,4,3,240,3,medium,M,6,4964
313,314,F,Ship,4,3,272,3,medium,M,38,3705
10839,10840,B,Flight,4,3,148,3,medium,M,8,4240
3557,3558,F,Flight,4,5,214,2,low,M,8,4512
4707,4708,B,Ship,3,1,146,4,low,F,10,4583
5770,5771,C,Flight,4,2,239,6,low,F,7,1934
118,119,C,Road,2,5,263,3,low,F,5,2947
2022,2023,D,Ship,4,4,264,2,medium,F,12,2203
10873,10874,F,Ship,5,1,190,2,low,M,9,5226
4439,4440,F,Ship,4,4,133,2,low,F,10,4768
7702,7703,C,Ship,7,3,272,4,medium,M,2,1754
2034,2035,D,Road,3,5,243,2,medium,M,42,3421
8490,8491,D,Flight,4,1,194,2,medium,F,1,4198
2856,2857,D,Road,2,3,128,2,medium,F,53,1530
9546,9547,D,Ship,3,2,189,2,low,M,6,4488
4649,4650,F,Road,4,1,206,3,low,F,4,4745
1219,1220,F,Road,5,5,169,4,medium,F,23,1922
7675,7676,F,Flight,5,1,250,4,medium,M,4,1438
10347,10348,B,Ship,3,4,269,3,medium,M,8,5364
7978,7979,C,Ship,3,4,188,5,low,F,3,4835
4176,4177,D,Ship,3,3,180,3,medium,M,8,5953
2510,2511,A,Ship,3,2,143,6,medium,M,63,1953
5224,5225,C,Ship,3,1,221,3,high,M,1,4948
8273,8274,F,Ship,7,2,247,4,medium,F,9,1096
9961,9962,F,Ship,5,4,256,5,low,M,2,1723
5471,5472,F,Road,6,4,306,4,low,M,9,1595
9714,9715,D,Road,3,4,270,6,low,F,7,4098
10716,10717,D,Ship,5,2,224,5,low,F,2,1022
4420,4421,C,Ship,4,5,206,2,low,F,10,4264
177,178,B,Ship,4,5,116,3,medium,M,54,1314
1643,1644,F,Flight,3,3,153,2,low,F,39,1328
10229,10230,F,Ship,5,3,284,5,medium,F,4,5343
5357,5358,F,Flight,4,5,183,2,medium,F,2,4533
4224,4225,D,Road,2,4,246,2,medium,M,1,5374
1374,1375,D,Flight,4,3,153,4,low,M,36,1171
1720,1721,C,Ship,2,1,177,4,low,M,63,1058
5123,5124,F,Ship,2,4,208,3,medium,F,6,4226
7481,7482,F,Ship,5,5,269,5,low,M,4,1454
2264,2265,A,Ship,4,5,155,4,high,F,48,1972
87,88,B,Ship,6,2,278,3,medium,F,3,2974
7370,7371,A,Ship,3,1,271,2,medium,F,7,4569
7440,7441,D,Ship,5,1,207,2,high,M,3,4083
3382,3383,C,Ship,3,4,205,8,medium,F,5,4869
6500,6501,A,Ship,6,5,251,4,medium,F,3,1660
9574,9575,C,Road,6,2,191,6,medium,M,7,5333
403,404,F,Road,4,2,249,5,medium,M,36,3836
4347,4348,B,Ship,3,5,155,4,low,M,6,5386
3350,3351,A,Ship,4,5,157,2,medium,M,6,5937
9178,9179,C,Flight,4,3,267,5,medium,F,9,1538
4112,4113,A,Flight,5,4,143,5,medium,F,5,4393
7387,7388,F,Road,4,1,157,7,low,F,7,4385
